sim,sourceX,sourceY,targetX,targetY
0.3,1981-1982,数据库 情报检索系统,1983-1984,科技情报系统 分布型
0.3,1983-1984,数据库 情报检索系统,1985-1986,情报技术 计算机系统
0.3,1983-1984,数据库 情报检索系统,1985-1986,情报检索 图书馆馆员
0.3,1985-1986,文献计量 引文分析,1987-1988,国外情报服务 检索系统
0.3,1987-1988,医学情报 情报信息,1989-1990,情报技术 计算机系统
0.25,1985-1986,读者服务 文献索引,1987-1988,情报检索 图书馆馆员
0.25,1989-1990,读者服务 文献索引,1991-1992,数据库 情报检索系统
0.25,1989-1990,国外情报服务 检索系统,1991-1992,读者服务 文献索引
0.25,1987-1988,国外情报服务 检索系统,1989-1990,科技期刊 国外期刊
0.25,1987-1988,国外情报服务 检索系统,1989-1990,情报机构 情报工作
0.25,1989-1990,国外情报服务 检索系统,1991-1992,情报检索 图书馆馆员
0.25,1987-1988,国外情报服务 检索系统,1989-1990,医学情报 情报信息
0.25,1985-1986,计算机技术 语义分析,1987-1988,读者服务 文献索引
0.25,1981-1982,科技期刊 国外期刊,1983-1984,情报服务 信息产业
0.25,1987-1988,科技期刊 国外期刊,1989-1990,情报服务 信息产业
0.25,1987-1988,科技期刊 国外期刊,1989-1990,情报改革 连续出版物
0.25,1985-1986,科技期刊 国外期刊,1987-1988,情报机构 情报工作
0.25,1981-1982,科技期刊 国外期刊,1983-1984,情报检索 查全、准率
0.25,1981-1982,科技期刊 国外期刊,1983-1984,情报检索 图书馆馆员
0.25,1985-1986,科技期刊 国外期刊,1987-1988,文献计量 引文分析
0.25,1989-1990,科技期刊 国外期刊,1991-1992,文献计量 引文分析
0.25,1985-1986,科技期刊 国外期刊,1987-1988,医学情报 情报信息
0.25,1983-1984,科技情报系统 分布型,1985-1986,情报机构 情报工作
0.25,1983-1984,情报服务 信息产业,1985-1986,情报机构 情报工作
0.25,1942-1980,情报服务 信息产业,1981-1982,情报检索 图书馆馆员
0.25,1942-1980,情报服务 信息产业,1981-1982,数据库 情报检索系统
0.25,1981-1982,情报服务 信息产业,1983-1984,数据库 情报检索系统
0.25,1981-1982,情报服务 信息产业,1983-1984,数据库 情报检索系统
0.25,1985-1986,情报服务 信息产业,1987-1988,专利分析 专利文献
0.25,1989-1990,情报服务 信息产业,1991-1992,专利分析 专利文献
0.25,1989-1990,情报改革 连续出版物,1991-1992,情报检索 查全、准率
0.25,1985-1986,情报机构 情报工作,1987-1988,国外情报服务 检索系统
0.25,1987-1988,情报机构 情报工作,1989-1990,情报改革 连续出版物
0.25,1987-1988,情报机构 情报工作,1989-1990,情报科学 理论体系
0.25,1981-1982,情报机构 情报工作,1983-1984,数据库 情报检索系统
0.25,1983-1984,情报技术 计算机系统,1985-1986,科技期刊 国外期刊
0.25,1942-1980,情报技术 计算机系统,1981-1982,情报技术 计算机系统
0.25,1942-1980,情报技术 计算机系统,1981-1982,情报检索 图书馆馆员
0.25,1985-1986,情报技术 计算机系统,1987-1988,情报检索 图书馆馆员
0.25,1942-1980,情报技术 计算机系统,1981-1982,数据库 情报检索系统
0.25,1983-1984,情报技术 计算机系统,1985-1986,数据库 情报检索系统
0.25,1985-1986,情报技术 计算机系统,1987-1988,数据库 情报检索系统
0.25,1985-1986,情报检索 查全、准率,1987-1988,国外情报服务 检索系统
0.25,1987-1988,情报检索 查全、准率,1989-1990,情报机构 情报工作
0.25,1989-1990,情报检索 查全、准率,1991-1992,情报机构 情报工作
0.25,1983-1984,情报检索 查全、准率,1985-1986,情报检索 图书馆馆员
0.25,1989-1990,情报检索 查全、准率,1991-1992,情报检索 图书馆馆员
0.25,1981-1982,情报检索 查全、准率,1983-1984,数据库 情报检索系统
0.25,1981-1982,情报检索 查全、准率,1983-1984,专利分析 专利文献
0.25,1989-1990,情报检索 图书馆馆员,1991-1992,读者服务 文献索引
0.25,1985-1986,情报检索 图书馆馆员,1987-1988,国外情报服务 检索系统
0.25,1989-1990,情报检索 图书馆馆员,1991-1992,国外情报服务 检索系统
0.25,1983-1984,情报检索 图书馆馆员,1985-1986,科技期刊 国外期刊
0.25,1942-1980,情报检索 图书馆馆员,1981-1982,情报机构 情报工作
0.25,1942-1980,情报检索 图书馆馆员,1981-1982,情报技术 计算机系统
0.25,1983-1984,情报检索 图书馆馆员,1985-1986,情报技术 计算机系统
0.25,1985-1986,情报检索 图书馆馆员,1987-1988,情报技术 计算机系统
0.25,1942-1980,情报检索 图书馆馆员,1981-1982,情报科学 理论体系
0.25,1985-1986,情报检索 图书馆馆员,1987-1988,情报科学 理论体系
0.25,1989-1990,情报检索 图书馆馆员,1991-1992,情报科学 理论体系
0.25,1981-1982,情报检索 图书馆馆员,1983-1984,数据库 情报检索系统
0.25,1981-1982,情报检索 图书馆馆员,1983-1984,数据库 情报检索系统
0.25,1985-1986,情报检索 图书馆馆员,1987-1988,专利分析 专利文献
0.25,1985-1986,情报科学 理论体系,1987-1988,国外情报服务 检索系统
0.25,1981-1982,情报科学 理论体系,1983-1984,科技情报系统 分布型
0.25,1942-1980,情报科学 理论体系,1981-1982,情报机构 情报工作
0.25,1942-1980,情报科学 理论体系,1981-1982,情报技术 计算机系统
0.25,1987-1988,情报科学 理论体系,1989-1990,情报技术 计算机系统
0.25,1987-1988,情报科学 理论体系,1989-1990,情报检索 图书馆馆员
0.25,1981-1982,情报科学 理论体系,1983-1984,数据库 情报检索系统
0.25,1983-1984,情报科学 理论体系,1985-1986,数据库 情报检索系统
0.25,1981-1982,数据库 情报检索系统,1983-1984,情报服务 信息产业
0.25,1987-1988,数据库 情报检索系统,1989-1990,情报服务 信息产业
0.25,1987-1988,数据库 情报检索系统,1989-1990,情报技术 计算机系统
0.25,1983-1984,数据库 情报检索系统,1985-1986,情报检索 查全、准率
0.25,1989-1990,数据库 情报检索系统,1991-1992,情报检索 查全、准率
0.25,1981-1982,数据库 情报检索系统,1983-1984,情报检索 图书馆馆员
